"IDCliente","EstadoCivil","Género","Ingresos","Hijos","Educación","Ocupación","Casa","Coches","Distancia","Región","Edad","Comprador"
"11000","Casado","Masculino","90000","2","Bachelors","Professional","Yes","0","1-2 Miles","Pacifico","40","Yes"
"11047","Casado","Femenino","30000","3","High School","Skilled Manual","No","2","1-2 Miles","Pacifico","56","Yes"
"11061","Casado","Masculino","80000","2","Partial College","Skilled Manual","Yes","2","5-10 Miles","Pacifico","52","Yes"
"11090","Soltero","Masculino","90000","2","Partial College","Professional","Yes","1","2-5 Miles","Norte America","48","Yes"
"11116","Casado","Masculino","70000","5","Partial College","Skilled Manual","Yes","2","5-10 Miles","Pacifico","43","No"
"11139","Soltero","Femenino","30000","2","Partial College","Clerical","No","2","5-10 Miles","Pacifico","67","No"
"11143","Casado","Masculino","40000","0","High School","Skilled Manual","Yes","2","5-10 Miles","Norte America","29","No"
"11147","Casado","Masculino","60000","2","Graduate Degree","Management","Yes","1","0-1 Miles","Pacifico","67","Yes"
"11149","Casado","Masculino","40000","2","Bachelors","Management","Yes","2","0-1 Miles","Pacifico","65","No"
"11165","Casado","Femenino","60000","0","Partial College","Skilled Manual","No","1","1-2 Miles","Norte America","33","No"
"11199","Casado","Femenino","70000","4","Bachelors","Management","Yes","1","10+ Miles","Norte America","59","No"
"11200","Casado","Masculino","70000","4","Bachelors","Management","Yes","1","1-2 Miles","Norte America","58","No"
"11219","Casado","Masculino","60000","2","High School","Professional","Yes","2","10+ Miles","Norte America","55","No"
"11225","Casado","Femenino","60000","2","Partial College","Professional","Yes","1","10+ Miles","Norte America","55","No"
"11233","Casado","Masculino","70000","4","Partial College","Professional","Yes","2","10+ Miles","Norte America","53","No"
"11249","Casado","Femenino","130000","3","Partial College","Professional","Yes","3","0-1 Miles","Europa","51","Yes"
"11255","Casado","Masculino","70000","4","Graduate Degree","Management","Yes","2","5-10 Miles","Norte America","73","No"
"11259","Casado","Femenino","100000","4","Partial College","Professional","Yes","4","2-5 Miles","Norte America","41","Yes"
"11262","Casado","Femenino","80000","4","Bachelors","Management","Yes","0","0-1 Miles","Norte America","42","No"
"11269","Casado","Masculino","130000","2","Graduate Degree","Management","Yes","2","0-1 Miles","Norte America","41","No"
