Nombre,Plataforma,Editorial,Genero,Año,Region,Ventas
Freeway,2600,Activision,Action,1980,Europa,0.02
Freeway,2600,Activision,Action,1980,Japon,0
Freeway,2600,Activision,Action,1980,NorteAmerica,0.32
Freeway,2600,Activision,Action,1980,Otros,0
Boxing,2600,Activision,Fighting,1980,Europa,0.04
Boxing,2600,Activision,Fighting,1980,Japon,0
Boxing,2600,Activision,Fighting,1980,NorteAmerica,0.72
Boxing,2600,Activision,Fighting,1980,Otros,0.01
Bridge,2600,Activision,Misc,1980,Europa,0.02
Bridge,2600,Activision,Misc,1980,Japon,0
Bridge,2600,Activision,Misc,1980,NorteAmerica,0.25
Bridge,2600,Activision,Misc,1980,Otros,0
Kaboom!,2600,Activision,Misc,1980,Europa,0.07
Kaboom!,2600,Activision,Misc,1980,Japon,0
Kaboom!,2600,Activision,Misc,1980,NorteAmerica,1.07
Kaboom!,2600,Activision,Misc,1980,Otros,0.01
Ice Hockey,2600,Activision,Sports,1980,Europa,0.03
Ice Hockey,2600,Activision,Sports,1980,Japon,0
Ice Hockey,2600,Activision,Sports,1980,NorteAmerica,0.46
Ice Hockey,2600,Activision,Sports,1980,Otros,0.01
Checkers,2600,Atari,Misc,1980,Europa,0.01
Checkers,2600,Atari,Misc,1980,Japon,0
Checkers,2600,Atari,Misc,1980,NorteAmerica,0.22
Checkers,2600,Atari,Misc,1980,Otros,0
Defender,2600,Atari,Misc,1980,Europa,0.05
Defender,2600,Atari,Misc,1980,Japon,0
Defender,2600,Atari,Misc,1980,NorteAmerica,0.99
Defender,2600,Atari,Misc,1980,Otros,0.01
Asteroids,2600,Atari,Shooter,1980,Europa,0.26
Asteroids,2600,Atari,Shooter,1980,Japon,0
Asteroids,2600,Atari,Shooter,1980,NorteAmerica,4
Asteroids,2600,Atari,Shooter,1980,Otros,0.05
Missile Command,2600,Atari,Shooter,1980,Europa,0.17
Missile Command,2600,Atari,Shooter,1980,Japon,0
Missile Command,2600,Atari,Shooter,1980,NorteAmerica,2.56
Missile Command,2600,Atari,Shooter,1980,Otros,0.03
Alien,2600,20th Century Fox Video Games,Action,1981,Europa,0.04
Alien,2600,20th Century Fox Video Games,Action,1981,Japon,0
Alien,2600,20th Century Fox Video Games,Action,1981,NorteAmerica,0.74
Alien,2600,20th Century Fox Video Games,Action,1981,Otros,0.01
Fantastic Voyage,2600,20th Century Fox Video Games,Action,1981,Europa,0.02
Fantastic Voyage,2600,20th Century Fox Video Games,Action,1981,Japon,0
Fantastic Voyage,2600,20th Century Fox Video Games,Action,1981,NorteAmerica,0.32
Fantastic Voyage,2600,20th Century Fox Video Games,Action,1981,Otros,0
Deadly Duck,2600,20th Century Fox Video Games,Shooter,1981,Europa,0.01
Deadly Duck,2600,20th Century Fox Video Games,Shooter,1981,Japon,0
Deadly Duck,2600,20th Century Fox Video Games,Shooter,1981,NorteAmerica,0.21
Deadly Duck,2600,20th Century Fox Video Games,Shooter,1981,Otros,0
Barnstorming,2600,Activision,Action,1981,Europa,0.02
Barnstorming,2600,Activision,Action,1981,Japon,0
Barnstorming,2600,Activision,Action,1981,NorteAmerica,0.4
Barnstorming,2600,Activision,Action,1981,Otros,0
Laser Blast,2600,Activision,Action,1981,Europa,0.02
Laser Blast,2600,Activision,Action,1981,Japon,0
Laser Blast,2600,Activision,Action,1981,NorteAmerica,0.37
Laser Blast,2600,Activision,Action,1981,Otros,0
Pitfall!,2600,Activision,Platform,1981,Europa,0.24
Pitfall!,2600,Activision,Platform,1981,Japon,0
Pitfall!,2600,Activision,Platform,1981,NorteAmerica,4.21
Pitfall!,2600,Activision,Platform,1981,Otros,0.05
Grand Prix,2600,Activision,Racing,1981,Europa,0.03
Grand Prix,2600,Activision,Racing,1981,Japon,0
Grand Prix,2600,Activision,Racing,1981,NorteAmerica,0.45
Grand Prix,2600,Activision,Racing,1981,Otros,0
Megamania,2600,Activision,Shooter,1981,Europa,0.06
Megamania,2600,Activision,Shooter,1981,Japon,0
Megamania,2600,Activision,Shooter,1981,NorteAmerica,1.03
Megamania,2600,Activision,Shooter,1981,Otros,0.01
River Raid,2600,Activision,Shooter,1981,Europa,0.09
River Raid,2600,Activision,Shooter,1981,Japon,0
River Raid,2600,Activision,Shooter,1981,NorteAmerica,1.49
River Raid,2600,Activision,Shooter,1981,Otros,0.02
Crazy Climber,2600,Atari,Action,1981,Europa,0.01
Crazy Climber,2600,Atari,Action,1981,Japon,0
Crazy Climber,2600,Atari,Action,1981,NorteAmerica,0.21
Crazy Climber,2600,Atari,Action,1981,Otros,0
E.T.: The Extra Terrestrial,2600,Atari,Action,1981,Europa,0.11
E.T.: The Extra Terrestrial,2600,Atari,Action,1981,Japon,0
E.T.: The Extra Terrestrial,2600,Atari,Action,1981,NorteAmerica,1.84
E.T.: The Extra Terrestrial,2600,Atari,Action,1981,Otros,0.02
Raiders of the Lost Ark,2600,Atari,Action,1981,Europa,0.03
Raiders of the Lost Ark,2600,Atari,Action,1981,Japon,0
Raiders of the Lost Ark,2600,Atari,Action,1981,NorteAmerica,0.46
Raiders of the Lost Ark,2600,Atari,Action,1981,Otros,0.01
Donkey Kong Junior,2600,Atari,Platform,1981,Europa,0.05
Donkey Kong Junior,2600,Atari,Platform,1981,Japon,0
Donkey Kong Junior,2600,Atari,Platform,1981,NorteAmerica,0.9
Donkey Kong Junior,2600,Atari,Platform,1981,Otros,0.01
Ms. Pac-Man,2600,Atari,Puzzle,1981,Europa,0.1
Ms. Pac-Man,2600,Atari,Puzzle,1981,Japon,0
Ms. Pac-Man,2600,Atari,Puzzle,1981,NorteAmerica,1.54
Ms. Pac-Man,2600,Atari,Puzzle,1981,Otros,0.02
Berzerk,2600,Atari,Shooter,1981,Europa,0.04
Berzerk,2600,Atari,Shooter,1981,Japon,0
Berzerk,2600,Atari,Shooter,1981,NorteAmerica,0.68
Berzerk,2600,Atari,Shooter,1981,Otros,0.01
Centipede,2600,Atari,Shooter,1981,Europa,0.08
Centipede,2600,Atari,Shooter,1981,Japon,0
Centipede,2600,Atari,Shooter,1981,NorteAmerica,1.26
Centipede,2600,Atari,Shooter,1981,Otros,0.01
Phoenix,2600,Atari,Simulation,1981,Europa,0.02
Phoenix,2600,Atari,Simulation,1981,Japon,0
Phoenix,2600,Atari,Simulation,1981,NorteAmerica,0.42
Phoenix,2600,Atari,Simulation,1981,Otros,0
RealSports Baseball,2600,Atari,Sports,1981,Europa,0.01
RealSports Baseball,2600,Atari,Sports,1981,Japon,0
RealSports Baseball,2600,Atari,Sports,1981,NorteAmerica,0.2
RealSports Baseball,2600,Atari,Sports,1981,Otros,0
RealSports Football,2600,Atari,Sports,1981,Europa,0.01
RealSports Football,2600,Atari,Sports,1981,Japon,0
RealSports Football,2600,Atari,Sports,1981,NorteAmerica,0.24
RealSports Football,2600,Atari,Sports,1981,Otros,0
RealSports Volleyball,2600,Atari,Sports,1981,Europa,0.01
RealSports Volleyball,2600,Atari,Sports,1981,Japon,0
RealSports Volleyball,2600,Atari,Sports,1981,NorteAmerica,0.12
RealSports Volleyball,2600,Atari,Sports,1981,Otros,0
Mouse Trap,2600,Coleco,Action,1981,Europa,0.02
Mouse Trap,2600,Coleco,Action,1981,Japon,0
Mouse Trap,2600,Coleco,Action,1981,NorteAmerica,0.38
Mouse Trap,2600,Coleco,Action,1981,Otros,0
Smurf: Rescue In Gargamel's Castle,2600,Coleco,Action,1981,Europa,0.03
Smurf: Rescue In Gargamel's Castle,2600,Coleco,Action,1981,Japon,0
Smurf: Rescue In Gargamel's Castle,2600,Coleco,Action,1981,NorteAmerica,0.55
Smurf: Rescue In Gargamel's Castle,2600,Coleco,Action,1981,Otros,0.01
Donkey Kong,2600,Coleco,Platform,1981,Europa,0.08
Donkey Kong,2600,Coleco,Platform,1981,Japon,0
Donkey Kong,2600,Coleco,Platform,1981,NorteAmerica,1.36
Donkey Kong,2600,Coleco,Platform,1981,Otros,0.02
Carnival,2600,Coleco,Shooter,1981,Europa,0.02
Carnival,2600,Coleco,Shooter,1981,Japon,0
Carnival,2600,Coleco,Shooter,1981,NorteAmerica,0.32
Carnival,2600,Coleco,Shooter,1981,Otros,0
Airlock,2600,Data Age,Action,1981,Europa,0.02
Airlock,2600,Data Age,Action,1981,Japon,0
Airlock,2600,Data Age,Action,1981,NorteAmerica,0.36
Airlock,2600,Data Age,Action,1981,Otros,0
Dragonfire,2600,Imagic,Action,1981,Europa,0.02
Dragonfire,2600,Imagic,Action,1981,Japon,0
Dragonfire,2600,Imagic,Action,1981,NorteAmerica,0.35
Dragonfire,2600,Imagic,Action,1981,Otros,0
Atlantis,2600,Imagic,Shooter,1981,Europa,0.08
Atlantis,2600,Imagic,Shooter,1981,Japon,0
Atlantis,2600,Imagic,Shooter,1981,NorteAmerica,1.18
Atlantis,2600,Imagic,Shooter,1981,Otros,0.01
Cosmic Ark,2600,Imagic,Shooter,1981,Europa,0.05
Cosmic Ark,2600,Imagic,Shooter,1981,Japon,0
Cosmic Ark,2600,Imagic,Shooter,1981,NorteAmerica,0.99
Cosmic Ark,2600,Imagic,Shooter,1981,Otros,0.01
Demon Attack,2600,Imagic,Shooter,1981,Europa,0.12
Demon Attack,2600,Imagic,Shooter,1981,Japon,0
Demon Attack,2600,Imagic,Shooter,1981,NorteAmerica,1.99
Demon Attack,2600,Imagic,Shooter,1981,Otros,0.02
Adventures of Tron,2600,Mattel Interactive,Action,1981,Europa,0.03
Adventures of Tron,2600,Mattel Interactive,Action,1981,Japon,0
Adventures of Tron,2600,Mattel Interactive,Action,1981,NorteAmerica,0.63
Adventures of Tron,2600,Mattel Interactive,Action,1981,Otros,0.01
Armor Ambush,2600,Mattel Interactive,Action,1981,Europa,0.01
Armor Ambush,2600,Mattel Interactive,Action,1981,Japon,0
Armor Ambush,2600,Mattel Interactive,Action,1981,NorteAmerica,0.15
Armor Ambush,2600,Mattel Interactive,Action,1981,Otros,0
Astroblast,2600,Mattel Interactive,Action,1981,Europa,0.02
Astroblast,2600,Mattel Interactive,Action,1981,Japon,0
Astroblast,2600,Mattel Interactive,Action,1981,NorteAmerica,0.29
Astroblast,2600,Mattel Interactive,Action,1981,Otros,0
Frogs And Flies,2600,Mattel Interactive,Action,1981,Europa,0.02
Frogs And Flies,2600,Mattel Interactive,Action,1981,Japon,0
Frogs And Flies,2600,Mattel Interactive,Action,1981,NorteAmerica,0.33
Frogs And Flies,2600,Mattel Interactive,Action,1981,Otros,0
BurgerTime,2600,Mattel Interactive,Puzzle,1981,Europa,0.03
BurgerTime,2600,Mattel Interactive,Puzzle,1981,Japon,0
BurgerTime,2600,Mattel Interactive,Puzzle,1981,NorteAmerica,0.55
BurgerTime,2600,Mattel Interactive,Puzzle,1981,Otros,0.01
Dark Cavern,2600,Mattel Interactive,Shooter,1981,Europa,0.01
Dark Cavern,2600,Mattel Interactive,Shooter,1981,Japon,0
Dark Cavern,2600,Mattel Interactive,Shooter,1981,NorteAmerica,0.22
Dark Cavern,2600,Mattel Interactive,Shooter,1981,Otros,0
International Soccer,2600,Mattel Interactive,Sports,1981,Europa,0.01
International Soccer,2600,Mattel Interactive,Sports,1981,Japon,0
International Soccer,2600,Mattel Interactive,Sports,1981,NorteAmerica,0.18
International Soccer,2600,Mattel Interactive,Sports,1981,Otros,0
Air Raid,2600,Men-A-Vision,Action,1981,Europa,0.04
Air Raid,2600,Men-A-Vision,Action,1981,Japon,0
Air Raid,2600,Men-A-Vision,Action,1981,NorteAmerica,0.72
Air Raid,2600,Men-A-Vision,Action,1981,Otros,0.01
Custer's Revenge,2600,Mystique,Action,1981,Europa,0.05
Custer's Revenge,2600,Mystique,Action,1981,Japon,0
Custer's Revenge,2600,Mystique,Action,1981,NorteAmerica,0.76
Custer's Revenge,2600,Mystique,Action,1981,Otros,0.01
Frogger,2600,Parker Bros.,Action,1981,Europa,0.12
Frogger,2600,Parker Bros.,Action,1981,Japon,0
Frogger,2600,Parker Bros.,Action,1981,NorteAmerica,2.06
Frogger,2600,Parker Bros.,Action,1981,Otros,0.02
Reactor,2600,Parker Bros.,Action,1981,Europa,0.01
